DISABLED	ID	parent class	label	Equivalence axiom	Equivalence Override	Subclass axiom	definition	comment	Exact Synonym	Broad Synonym	Minimum	Aves	Bovidae	Suina	Ursidae	Cervidae	Camelidae	Giraffoidea	Hippopotamidae	Cetacea	Canidae	Felidae	Pinnipedia	Musteloidea	Perissodactyla	Diprotodontia	Rodentia	Lagomorpha	Chiroptera	Eulipotyphla	Primates	Bivalvia	Cephalopoda	Gastropoda	Reptilia	Echinodermata	Amphibian	Chelicerata	Crustacea	Hexapoda	Other	Fish
	FOODON:02020001	{organism} substance	{organism} egg white	'animal egg white' and 'derives from' some '{organism} egg (shell on)'	'animal substance' and 'derives from' some 'albumen'		The white of a{n} {organism} egg.		{organism} albumen			chicken|ostrich|quail|turkey|duck|goose																														
	FOODON:02020002	{organism} egg white	{organism} egg white (raw)	'{organism} egg white' and 'has quality' some 'raw'			A raw {organism} egg white.					chicken|ostrich|quail|turkey|duck|goose																														
	FOODON:02010009	{organism} substance	{organism} egg yolk	'animal egg yolk' and 'derives from' some '{organism} egg (shell on)'	'animal substance' and 'derives from' some 'egg yolk'		The egg yolk of a{n} {organism} egg					chicken|ostrich|quail|turkey|duck|goose																														
	FOODON:02010010	{organism} egg yolk	{organism} egg yolk (raw)	'{organism} egg yolk' and 'has quality' some 'raw'			A raw {organism} egg yolk.					chicken|ostrich|quail|turkey|duck|goose																														
	FOODON:02010011	{organism} substance	{organism} eggshell	'animal eggshell' and 'derives from' some '{organism} egg (shell on)'	'animal substance' and 'derives from' some 'eggshell'		A shell of a{n} {organism} egg.					chicken|ostrich|quail|turkey|duck|goose																														
	FOODON:02010012	{organism_base} substance	{organism} milk	'animal milk' and 'produced by' some '{organism_base}' and 'produced by' only '{organism_base}'	'milk' and 'produced by' some animal		Milk which is produced by {organism} lactation.						cow|goat|buffalo|sheep|water buffalo												donkey|horse																	
	FOODON:02010013	{organism} milk	{organism} milk (raw)	'{organism} milk' and 'has quality' some raw			Raw {organism} milk.						cow|goat|buffalo|sheep|water buffalo												donkey|horse																	
	FOODON:02010014	{organism_base} substance	{organism} blood	'animal blood' and 'produced by' some '{organism}' and 'produced by' only '{organism}'	'animal substance' and 'blood'		Blood from a{n} {organism}.					chicken|turkey	cow																													
	FOODON:02010015	{organism} blood	{organism} blood (raw)	'{organism} blood' and 'has quality' some raw			Raw {organism} blood.					chicken|turkey	cow																													
	FOODON:02010022	piece of {organism_base}	{organism_base} processed carcass			'derives from' some '{organism_base} carcass'	A{n} {organism_base} carcass that has been processed to some degree.					ALL	cow|goat|buffalo|sheep|lamb	pig																				whelk	green sea turtle							
