Ontology ID	parent class	label	Equivalence axiom	Subclass axiom	taxon	definition	definition source	Last Updated	Curation notes	created	contributor	Exact Synonym	Broad Synonym	French syn.	see also	hasDbXref	curation status	comment	image	term requested	EFSA Code	
ID	SC % SPLIT=|	AL rdfs:label@en	EC %	SC % SPLIT=|		AL IAO:0000115@en	A IAO:0000119 SPLIT=|			AT dcterms:date^^xsd:dateTime	A dcterms:contributor SPLIT=|	AL oboInOwl:hasExactSynonym@en SPLIT=|	AL oboInOwl:hasBroadSynonym@en SPLIT=|	AL oboInOwl:hasExactSynonym@fr SPLIT=|	A rdfs:seeAlso SPLIT=|		AI IAO:0000114	AL rdfs:comment@en	AI schema:image			
FOODON:03301645	seed	brazilnut (shell on)	'seed' and 'in taxon' some 'Bertholletia excelsa'		Bertholletia excelsa	A seed of a brazilnut tree (Bertholletia excelsa).	https://en.wikipedia.org/wiki/Brazil_nut					brazilnut										
FOODON:00003612	root	black radish	'root' and 'in taxon' some 'Raphanus sativus var. sativus'		Raphanus sativus var. sativus	A root of a black radish plant (Raphanus sativus var. sativus)	https://en.wikipedia.org/wiki/Black_radish					black spanish radish|erfurter radish										
FOODON:00003613	seed	cocoa bean	'seed' and 'in taxon' some 'Theobroma cacao'		Theobroma cacao	A seed of a cacao tree (Theobroma cacao)	https://en.wikipedia.org/wiki/Theobroma_cacao					cacao bean										
FOODON:03302218	leaf	betel leaf	'leaf' and 'in taxon' some 'Piper betle'		Piper betle	A leaf of the Betel tree (Piper betle).	https://en.wikipedia.org/wiki/Betel											Not to be confused with betel nut.				
FOODON:00003614	seed	areca nut	'seed' and 'in taxon' some 'Areca catechu'		Areca catechu	A seed of an areca palm  (Areca catechu)	https://en.wikipedia.org/wiki/Areca_nut					betel nut										
FOODON:00003615	nut fruit	cashew nut	'nut fruit' and 'in taxon' some 'Anacardium occidentale'		Anacardium occidentale	A nut fruit from a cashew tree (Anacardium occidentale)	https://en.wikipedia.org/wiki/Cashew															
FOODON:00003616	aggregate fruit	cherimoya fruit	'fruit' and 'in taxon' some 'Annona cherimola'		Annona cherimola	A fruit of a cherimoya plant (Annona cherimola)	https://en.wikipedia.org/wiki/Cherimoya					cherimoya|chirimoya|chirimuya|custard apple			https://www2.palomar.edu/users/warmstrong/fruitid1.htm							
																						
FOODON:00003617	fruit	cupuaçu fruit	'fruit' and 'in taxon' some 'Theobroma grandiflorum'		Theobroma grandiflorum	A fruit from a cupuaçu plant (Theobroma grandiflorum).	https://en.wikipedia.org/wiki/Theobroma_grandiflorum			2021-02-11T01:02:47		cupuaçu|cupu assu										
FOODON:00003618	berry fruit	eggplant	'berry fruit' and 'in taxon' some 'Solanum virginianum'		Solanum virginianum	A berry fruit of an eggplant (Solanum virginianum)	https://en.wikipedia.org/wiki/Eggplant			2021-02-11T01:05:15		egg plant|aubergine|brinjal										
FOODON:03301246	drupe fruit	date (fruit)	'drupe fruit' and 'in taxon' some 'Phoenix dactylifera'		Phoenix dactylifera	A drupe fruit of a date plant (Phoenix dactylifera)	https://en.wikipedia.org/wiki/Date_palm					date|date palm										
FOODON:00003619	orange	california valencia orange	'hesperidium fruit' and 'in taxon' some 'california valencia orange plant'			A hesperidium fruit of a california valencia orange plant.				2021-02-11T01:07:43												
FOODON:03000006	seed|fenugreek food product|spice food product	fenugreek seed	'seed' and 'in taxon' some 'Trigonella foenum-graecum'		Trigonella foenum-graecum	A seed of a fenugreek plant (Trigonella foenum-graecum)	https://en.wikipedia.org/wiki/Fenugreek			2021-02-11T01:13:12												
FOODON:03307812	fenugreek seed	fenugreek seed (dried)					https://en.wikipedia.org/wiki/Fenugreek			2021-02-11T01:13:12		fenugreek seed										
FOODON:00003620	leaf|fenugreek food product|herb food product	fenugreek leaf	'leaf' and 'in taxon' some 'Trigonella foenum-graecum'		Trigonella foenum-graecum	A leaf of a fenugreek plant (Trigonella foenum-graecum).	https://en.wikipedia.org/wiki/Fenugreek			2021-02-11T01:12:05		methi leaf|mehti										
FOODON:00003621	fenugreek food product	fenugreek leaf bunch	'plant leaf bunch' and 'has member' some 'fenugreek leaf' and 'has member' only 'fenugreek leaf' and 'has quality' some raw			A bunch of raw fenugreek leaves.	https://en.wikipedia.org/wiki/Fenugreek			2021-02-11T01:13:12		fenugreek bunch|fenugreek bundle										
FOODON:00003622	berry fruit	guava	'berry fruit' and 'in taxon' some 'guava plant'	'in taxon' some 'Psidium'	Psidium	A berry fruit of a guava plant.				2021-02-11T01:13:48												
FOODON:00003623	rosette leaf	chicory leaf	'rosette leaf' and 'in taxon' some 'Cichorium intybus'		Cichorium intybus	A rosette leaf of a chicory plant (Cichorium intybus).				2021-02-11T01:16:15												
FOODON:00003624	rosette	chicory head	'rosette' and 'in taxon' some 'Cichorium intybus'		Cichorium intybus	A rosette of a chicory plant (Cichorium intybus).				2021-02-11T01:17:05		succory|radicchio|witloof										
FOODON:00003625	chicory food product	chicory bunch	'plant leaf bunch' and 'has member' some 'chicory leaf' and 'has member' only 'chicory leaf' and 'has quality' some raw			A bunch of raw chicory leaves.				2021-02-11T01:19:03		chicory bundle										
FOODON:00003626	berry fruit	java apple	'berry fruit' and 'in taxon' some 'Syzygium samarangense'		Syzygium samarangense	A berry fruit from a java apple tree (Syzygium samarangense)				2021-02-11T01:28:19		wax apple|wax jambu|Semarang rose-apple										
FOODON:00003597	pepo fruit	melon		'in taxon' some 'Cucurbitaceae'	Cucurbitaceae	A pepo fruit of a melon plant.	https://en.wikipedia.org/wiki/Melon			2021-02-10T22:34:05												
FOODON:00003598	muskmelon	honeydew melon	'pepo fruit' and 'in taxon' some 'honeydew melon plant'			A cultivar of a muskmelon, inodorus group plant.	https://en.wikipedia.org/wiki/Honeydew_(melon)															
FOODON:00003596	melon	muskmelon	'pepo fruit' and 'in taxon' some 'Cucumis melo'		Cucumis melo	A pepo fruit of a muskmelon plant (Cucumis melo )	https://en.wikipedia.org/wiki/Muskmelon			2021-02-10T22:37:02												
FOODON:00003627	fruit	beechnut	'fruit' and 'in taxon' some 'beech tree'			A fruit of a beechtree.				2021-02-11T01:31:13		beech nut										
FOODON:00003628	fruit multiple	breadfruit	'fruit multiple' and 'in taxon' some 'Artocarpus altilis'		Artocarpus altilis	A fruit multiple of a breadfruit tree (Artocarpus altilis)	https://en.wikipedia.org/wiki/Breadfruit			2021-02-11T01:43:33												
FOODON:00003630	leaf	bean leaf	'leaf' and 'in taxon' some 'bean plant'			A leaf of a bean plant.				2021-02-11T01:48:48												
FOODON:00003631	chard leaf	swiss chard leaf		'rosette leaf' and 'in taxon' some 'Beta vulgaris subsp. vulgaris'	Beta vulgaris subsp. vulgaris	A rosette leaf of a swiss chard plant (Beta vulgaris subsp. vulgaris).				2021-02-11T01:50:09												
FOODON:00003632	chard bunch	swiss chard bunch	'plant leaf bunch' and 'has member' some 'swiss chard leaf' and 'has member' only 'swiss chard leaf' and 'has quality' some raw			A bunch of raw swiss chard leaves.				2021-02-11T01:57:57		swiss chard bundle										
FOODON:00003633	leaf	beet leaf	'leaf' and 'in taxon' some 'Beta vulgaris'		Beta vulgaris	A leaf of a beet plant.	https://en.wikipedia.org/wiki/Beetroot			2021-02-11T01:59:10	https://orcid.org/0000-0002-8844-9165	beetroot leaf										
